ACCT|GENDER|ID1|ID2|DECIMAL_COLUMN|DATE_COLUMN|FIRST_NAME|LAST_NAME|ANY_NAME|ORG_NAME|FULL_NAME|CAL|SIN|NARROW|DT2
RW4COKANZF|F|6984|523850877|3.8976|1991-11-02|Liam|Roberts|Mila Sanchez|Luminous Group inc.|Liam Roberts|T3QYVHYF8LERLNWUZPBI5JESP0A2A5OFN2ZE1SP4KWYMO|2333|LVFT|1928-03-30 10:23:15:000000
DLK0G2QPUY|F|2630|1077554548|3.4028|2098-05-06|Matthew|Wilson|Olivia Nguyen|Blaze Technologies inc.|Matthew Wilson|GXEOQ6C21QTYQ9BARRMHVHG16NK7Z7ABNW17JJC030VT9|4513|UF3S|2028-05-16 09:21:54:000000
18G03PGDUH|M|9439|1185239425|8.2774|2093-06-10|Aria|Johnson|James Young|Cascade Solutions gmbh|Aria Johnson|JPRZCLR272MZZA746S72DDO2J5E5BGQ1QTXGGIMMFY1Y7|9742|1V3P|2055-11-03 18:14:56:000000
B7N9D1A0JL|F|8559|2114998301|9.6652|2073-01-22|Christopher|Nelson|Bella Cook|Solaris Systems ltd.|Christopher Nelson|BX6CMIGFC3L9QUE7KP3M90YFYH1K70TUBI28D28VVEXTS|1328|626S|1960-12-24 06:35:45:000000
D77V72JLAP|F|1150|1538970101|2.1873|2012-01-07|Zoe|White|Evelyn Sanchez|Infinite Dynamics ltd.|Zoe White|3GG18XDDKR5TS3FYA0HIUJWJSG69D27JL3X2IMVZ7SVU2|4066|2XS9|2092-04-18 15:51:19:000000
9MV70XE0WP|M|9376|1353469951|7.985|2047-03-03|Riley|Torres|Anthony Scott|Delta Dynamics gmbh|Riley Torres|2TC7OYS250C0T20431ZUQLTRQZF46HV7YRRGM8884LVQ2|8144|KA1T|2034-10-16 03:49:33:000000
UKTPJQE5CL|F|1963|1810951002|1.8518|1959-06-12|John|Green|Grace King|Optima Innovations ltd.|John Green|20Z7W30T3W5DXI85YSNPFZS2CPQKV2RDVOWQZ1A10B7KL|7650|ICEV|1995-01-28 00:08:08:000000
LB7TJCT0Q0|F|7034|1013567155|5.2336|2087-09-07|Hannah|Walker|Riley Roberts|Celestial Holdings ltd.|Hannah Walker|97ZSYQWX3C54X5FUFJIR1WRB00X65CRW6OVA5TNPSNT9J|1635|7XK9|1908-01-12 18:27:11:000000
3PMWB9ZFKB|M|7393|1064838079|4.3592|2079-05-07|Scarlett|Cooper|Addison Phillips|DynaTech Systems gmbh|Scarlett Cooper|GZQHH3BS8VOXBDLCXBGXGZOP5PBDAT1ZF4JJVFTBM7TBQ|5255|H8TP|2058-01-22 11:22:02:000000
E6VIJ79S1D|F|4613|1323628440|3.2054|2087-05-10|Gabriel|Murphy|Riley Wright|Visionary Technologies gmbh|Gabriel Murphy|UEGFA3QXVARMK9V5X1VIL8Q81YXPQ0S7AE6JMRYZK1975|2564|WNPZ|2074-02-22 03:04:47:000000
QXY5DL5EVN|M|5433|861399782|1.2447|2071-01-29|Penelope|Bailey|Penelope Edwards|BlueSky Ventures inc.|Penelope Bailey|1MKPYKSZOROP1DTRZY0GWRAROEYRQSU3NVZJJ7GEXB7SV|9997|M0JE|2048-08-31 13:27:05:000000
BVA0TRWSBD|F|7484|341623674|8.5939|2010-02-05|Joshua|Green|Penelope Nelson|Omega Industries inc.|Joshua Green|D3PRNEG1OWSC06J80XAY4NNCXDPH34AROAZ6STRHFXMRB|2025|WGIJ|2018-04-30 01:42:57:000000
2DVFDWBPJP|M|3608|545870116|6.3748|2099-03-12|Liam|King|Jaxon Ramirez|DynaTech Systems gmbh|Liam King|ICIS10OUHLIJUSDG4IPDFDP6WIRG1TKDO7N3V1V8TEQY9|0158|YREB|1932-02-28 12:36:44:000000
KL68JX5YZY|F|4533|620254519|3.2927|1917-01-14|Savannah|Perez|Anthony Mitchell|Aeon Solutions inc.|Savannah Perez|JF91LGKDKOWDB2EGNYF6KBLEEOAFJOTP99C6HN9D7Y27V|7259|6BFJ|1938-06-03 18:16:34:000000
JGQKK79SA9|M|3290|1544896374|7.7544|2047-08-27|Mia|Moore|Sofia Cook|Elite Innovations inc.|Mia Moore|QFO66H3VACWOE8JZETRJ84X9YR7SD1RORQLQ27X9E4E8J|4242|U5CY|1942-07-14 19:50:44:000000
L01NVFT010|F|3410|802016544|9.9412|2035-05-30|Emily|Phillips|Ella Garcia|Penta Solutions inc.|Emily Phillips|EZ5PFW4FIGGRJK7A42C8LOK7O4X4H4UIH3R4BRIY543DQ|4223|7OT2|2092-07-10 14:31:11:000000
C9G9IZT9VL|F|9296|679478907|2.7919|2054-05-06|Lucy|Nelson|Zoe Wilson|Quantex Enterprises gmbh|Lucy Nelson|G18NS0IHT3I5H08ZUSHTZKZVZOVE6VHWL4E9FUIHN184A|3949|1GVU|2005-02-11 03:09:46:000000
QISLD8LDTZ|M|5952|1078578689|4.8649|1972-04-29|Evelyn|Clark|Noah Taylor|Delta Dynamics inc.|Evelyn Clark|CWI315XCW37UZG6ZOIK2133JEKV1V1OG4D4UQAXGR18UX|0226|37OT|2078-07-04 14:57:17:000000
HJTUG8RMHK|M|9632|488417346|9.3636|2026-03-12|Mason|Garcia|Elijah Anderson|Flux Corporation inc.|Mason Garcia|NW9J4KOWEZXXLDLTIZJEPK0304VW7JAJZZKDTZQG8H3RP|5830|CDNA|1915-06-07 12:27:09:000000
V4YXRNPQWM|M|6943|539213274|9.5627|1937-06-25|Henry|Thomas|Mia Collins|Penta Solutions ltd.|Henry Thomas|B4HB539WNPKSNXS9KK1KHRG84IGDEVG4DKT1ROI9AGT0R|0440|LEVL|2054-02-13 21:20:06:000000
TNYCYK6BRO|M|2178|2018958697|1.6809|2074-05-14|Jaxon|Walker|Lucy Collins|Zenith Industries ltd.|Jaxon Walker|5MLBKHXA0FGZ3JFZT8VXDC97HL0A4UF5BQBQ8GX6MRBOB|6788|6UYY|1991-02-18 23:28:21:000000
W3ERMBMTMT|F|5947|1278331028|7.8819|1982-02-06|Camila|Walker|Jacob Rodriguez|Innovare Solutions gmbh|Camila Walker|YH4P5FC75EDX5XQ77W7BCWUYR6YRSLS97XBYWX727SBWD|5666|6IOD|2023-12-02 21:02:06:000000
69HVKTH3XP|M|4488|2001454622|8.6597|1900-08-25|Camila|Scott|Abigail Evans|Nimbus Corporation inc.|Camila Scott|AHGKHCCODOX8XBC8Y8CM4M01XDL6O263H15MKU5715C91|2449|O5FI|2096-07-27 15:11:25:000000
77O66FAYEK|F|5674|364148476|3.9326|1992-05-23|Mila|Campbell|Jayden Turner|Solaris Systems gmbh|Mila Campbell|KTPSWJAFVGCS8JN21UQRGUK94K9YB93172T1X6FBYAPT0|1021|K0VB|1980-03-11 10:35:46:000000
X0CPYFMKWH|F|8091|1856884622|6.9453|2004-10-10|Mason|Roberts|Aubrey Bailey|Celestial Technologies gmbh|Mason Roberts|NBCME6KNZL8GTEIHPZXIHP5YAESRUE81RWSRM5JSI7VAA|4353|4IH9|2052-11-23 07:27:06:000000
H61EIF9RRO|F|3728|580490323|6.9271|2027-02-06|Hazel|Young|Nathan Rogers|Penta Solutions inc.|Hazel Young|FGHZ4H6HN7DYF5XUYKX8MHNT9V83ZRDIU09NG5UFPI4SZ|5045|NKAU|2012-01-20 06:17:34:000000
LK994W7T7J|M|8326|665387815|8.2204|1911-12-30|Emily|Cooper|Aiden Bailey|DynaTech Systems gmbh|Emily Cooper|LE4XXR4AHH5Y160BF6X7L5W97KCXW2V7ZU36SEZZWTEHG|8385|DBJ6|1989-08-02 07:17:15:000000
XD9M42SYXF|F|5373|1707135650|1.4597|1957-12-15|Aubrey|Murphy|Noah Williams|TerraFirm Enterprises inc.|Aubrey Murphy|XZRF2P4SSFFVU037Z5J1QSAG1WLQZYBLTL63T3AVZK7AN|6841|F69M|2039-01-28 02:18:56:000000
MJQUZX639K|M|3898|1464788364|5.4442|2075-03-20|Emma|Stewart|Caden Clark|Quantex Enterprises ltd.|Emma Stewart|48TVGMT36KCSL28O53R87JB3BTM4C7D0GBDO1PCXSZBIG|1061|6NCY|2011-08-09 23:19:13:000000
EBG04WIIXU|F|2520|703930728|2.9226|1973-08-07|Caden|Martinez|Zoey Williams|Eclipse Innovations inc.|Caden Martinez|NK5MUNN4U6OSHUSXCJP1OU8HF8OHQIC2ZAXOU5DGC56SD|2008|OZHT|2085-12-12 13:31:28:000000
7UPMOG03OY|F|9074|212473208|5.404|2066-12-25|Mia|Carter|Joseph Bell|Dynamo Corporation ltd.|Mia Carter|K8QNPHA1K17CCSF1SKIW21EMULGUVBWE0RV5GXDGF7MXU|1518|5RRB|2051-08-29 23:41:03:000000
