ACCT|GENDER|ID1|ID2|DECIMAL_COLUMN|DATE_COLUMN|FIRST_NAME|LAST_NAME|ANY_NAME|ORG_NAME|FULL_NAME|CAL|SIN|NARROW|DT2
GD1H0LG6K9|M|4651|389236644|3.9425|1921-08-09|Andrew|Wilson|Carter Mitchell|Fusion Technologies ltd.|Andrew Wilson|O0OE269D0IRL9KLBG24AP9KKPJX6VKFWKSKLNADKHVL03|8327|20WP|2033-01-29 10:25:23:000000
K5FRB8FH4Y|M|8568|1850085948|0.7759|2060-04-29|Ella|Allen|Lucas Walker|Momentum Solutions ltd.|Ella Allen|VZ0OMRF0L0A55G226758G1OMPO6BL98TFL6H3UNEN90ME|7085|B4CH|1970-12-20 04:27:26:000000
SAA8T1HV0P|F|8370|2011856228|9.8905|2038-11-05|Elijah|Nguyen|Ella Flores|Universal Synergy ltd.|Elijah Nguyen|SQ5ENRV0PNXID9VZGMDBCGBKIIV6NEN63FYJXI6QAQ9NN|1662|L8YC|2060-07-09 14:05:08:000000
VKN4JHVJCS|M|4181|1615625032|6.1879|1930-09-18|Eleanor|Carter|David Moore|Solstice Corporation gmbh|Eleanor Carter|MKL1CFP8ZY4JFCDBNX1WIOACRF2UKM14TASAHE99QIG2Y|2955|GUB4|2013-01-02 12:34:40:000000
ZOX8Y1H5RS|M|4520|679784254|7.2939|1957-01-11|Ava|Lopez|Sophia Davis|Elite Innovations gmbh|Ava Lopez|0QGDJBJEHK65Y4UMJ287U2QL45XLAM36J0ZGV70KWUUMU|1821|O0EV|2070-02-26 01:51:16:000000
WBJSEGNYRD|M|8905|239475949|8.5053|2057-08-28|John|Sanchez|Carter Hernandez|United Synergy gmbh|John Sanchez|KJ8T0GSF9OI2VZK10O1Y5UX5WHNKSJCYFVSY5WBPGOR49|5317|9P6T|1960-03-08 22:27:32:000000
QAF850I6WU|M|4540|316426987|2.7233|1938-07-04|Liam|Martin|Lucy Scott|Nimbus Corporation inc.|Liam Martin|2ZYFNHQTJY2K8SCXDXLVLLQ0VMI0M6V4WPM3OVA546KS3|2863|11EN|2089-08-12 08:29:06:000000
BCOJ3HD683|F|3754|1833476860|5.8358|2038-01-20|Aurora|Thomas|Evelyn Clark|Nimbus Corporation gmbh|Aurora Thomas|B4M1N7VK8DMVLFUAE576MKB31XUPJFVBY1M4E9JF8NB19|5505|535R|2092-11-13 20:08:41:000000
NMFUDY0OCB|F|8464|1479071639|0.3373|1986-06-06|Gabriel|Allen|Wyatt Richardson|Penta Solutions inc.|Gabriel Allen|Q52L1OOPD6NG76Z3AEVITNYGE1813188LDJBF3RMVCUZV|0968|MVBE|1951-01-15 11:12:18:000000
1EG35T9K78|F|9354|845042228|1.8212|1918-08-23|Emma|Clark|Bella Lewis|Fusion Technologies gmbh|Emma Clark|UD6ICQPNRV1C0CVSCT2OQYDVH5DMCYM3HCAZAGPYD6I5M|5454|1MHX|1920-02-16 14:27:07:000000
UI5J2PON2C|M|8011|2130230314|8.5003|1996-06-27|Aubrey|Green|Emily Campbell|Vanguard Corporation ltd.|Aubrey Green|YOVZQZOAUWK3U9ARIHKWYT8L42KECIF0O5VHGSXY4XYHS|9140|9ZP5|2057-03-14 19:23:20:000000
L9GXM5MM4Q|F|1916|1214656620|0.8081|2000-07-12|Ella|Edwards|Isabella Roberts|Evergreen Holdings gmbh|Ella Edwards|EC1EC5O3MIA6M4H6DOUQSU5OB4QLBUC4LW3KIMN6CSRWM|0946|L390|2006-09-29 06:37:31:000000
YK3HN6EPB2|M|5635|2017798466|5.1107|1937-09-15|Carter|Lewis|Anthony Hill|Celestial Holdings ltd.|Carter Lewis|GH3PAS0F4E14Q4CLKSLNQRG044HZ8ABI0RIJ3NHG71O1V|2653|5CZF|2001-09-17 18:05:05:000000
IWW75JA6YT|F|6938|1730331243|1.4656|2033-11-16|Claire|Smith|Bella Martin|United Synergy ltd.|Claire Smith|BCC0CMCMO8QERSVUS7TSNFYLOMH8ZQQVLXMB7L9Q6EXF6|9360|MHZQ|2088-01-22 23:20:42:000000
FRELCMXE7L|M|8294|796066750|6.706|1982-02-17|Aria|Gonzalez|Mila Harris|Jade Industries gmbh|Aria Gonzalez|BBD9ZOP1S1TX9GMNZMOOUM7YCHY5V6BMRFIX8Q2RCT5HI|8903|HIFR|1963-02-09 00:04:57:000000
